AllResult;SumOfWinNum
0,0,8,5,7;99811.56
0,0,8,5,8;102066.035
0,0,8,5,9;99811.56
0,0,8,6,0;121615.85
0,0,8,6,1;96595.11
0,0,8,6,2;96595.11
0,0,8,6,3;96595.11
0,0,8,6,4;96595.11
0,0,8,6,5;96595.11
0,0,8,6,6;97498.585
0,0,8,6,7;96595.11
0,0,8,6,8;98849.585
0,0,8,6,9;96981.11
0,0,8,7,0;121615.85
0,0,8,7,1;96595.11
0,0,8,7,2;96595.11
0,0,8,7,3;96595.11
0,0,8,7,4;96595.11
0,0,8,7,5;96595.11
0,0,8,7,6;96595.11
0,0,8,7,7;97498.585
0,0,8,7,8;98463.585
0,0,8,7,9;96595.11
0,0,8,8,0;128718.01
0,0,8,8,1;100029.2
0,0,8,8,2;99257.2
0,0,8,8,3;99257.2
0,0,8,8,4;99257.2
0,0,8,8,5;99643.2
0,0,8,8,6;99643.2
0,0,8,8,7;99257.2
0,0,8,8,8;134057.875
0,0,8,8,9;99257.2
0,0,8,9,0;121615.85
0,0,8,9,1;96595.11
0,0,8,9,2;96595.11
0,0,8,9,3;96595.11
0,0,8,9,4;96595.11
0,0,8,9,5;96595.11
0,0,8,9,6;96981.11
0,0,8,9,7;96595.11
0,0,8,9,8;98463.585
0,0,8,9,9;97498.585
0,0,9,0,0;219890.8
0,0,9,0,1;119193.015
0,0,9,0,2;119193.015
0,0,9,0,3;119193.015
0,0,9,0,4;119193.015
0,0,9,0,5;119193.015
0,0,9,0,6;119193.015
0,0,9,0,7;119193.015
0,0,9,0,8;120125.805
0,0,9,0,9;125212.06
0,0,9,1,0;118399.4
0,0,9,1,1;94282.135
0,0,9,1,2;93764.66
0,0,9,1,3;93764.66
0,0,9,1,4;93378.66
0,0,9,1,5;93764.66
0,0,9,1,6;93378.66
0,0,9,1,7;93378.66
0,0,9,1,8;94697.45
0,0,9,1,9;94957.635
0,0,9,2,0;118399.4
0,0,9,2,1;93764.66
0,0,9,2,2;94282.135
0,0,9,2,3;93378.66
0,0,9,2,4;93378.66
0,0,9,2,5;93378.66
0,0,9,2,6;93378.66
0,0,9,2,7;93378.66
0,0,9,2,8;94311.45
0,0,9,2,9;94957.635
