AllResult,SumOfWinNum
"03,04,08,10,11",27292.84
"03,04,09,10,11",27320.71
"03,05,06,07,08",30776.81
"03,05,06,07,09",30813.06
"03,05,06,07,10",30775.81
"03,05,06,07,11",30813.06
"03,05,06,08,09",29822.41
"03,05,06,08,10",29830.01
"03,05,06,08,11",29822.41
"03,05,06,09,10",29822.41
"03,05,06,09,11",29859.66
"03,05,06,10,11",29822.41
"03,05,07,08,09",28161.3
"03,05,07,08,10",28124.05
"03,05,07,08,11",28161.3
"03,05,07,09,10",28161.3
"03,05,07,09,11",28845.05
"03,05,07,10,11",28161.3
"03,05,08,09,10",27179.09
"03,05,08,09,11",27216.34
"03,05,08,10,11",27179.09
"03,05,09,10,11",27888.71
"03,06,07,08,09",26213.35
"03,06,07,08,10",26220.95
"03,06,07,08,11",26213.35
"03,06,07,09,10",26213.35
"03,06,07,09,11",26250.6
"03,06,07,10,11",26213.35
"03,06,08,09,10",25275.99
"03,06,08,09,11",25268.39
"03,06,08,10,11",25275.99
"03,06,09,10,11",25303.86
"03,07,08,09,10",23674.19
"03,07,08,09,11",23711.44
"03,07,08,10,11",23674.19
"03,07,09,10,11",23746.91
"03,08,09,10,11",22756.26
"04,05,06,07,08",42965.025
"04,05,06,07,09",42956.425
"04,05,06,07,10",42964.025
"04,05,06,07,11",42956.425
"04,05,06,08,09",42010.625
"04,05,06,08,10",42129.325
"04,05,06,08,11",42010.625
"04,05,06,09,10",42010.625
"04,05,06,09,11",42003.025
"04,05,06,10,11",42010.625
"04,05,07,08,09",30591.94
"04,05,07,08,10",30599.54
"04,05,07,08,11",30591.94
"04,05,07,09,10",30591.94
"04,05,07,09,11",30629.19
"04,05,07,10,11",30591.94
"04,05,08,09,10",29654.58
"04,05,08,09,11",29646.98
"04,05,08,10,11",29654.58
"04,05,09,10,11",30319.35
"04,06,07,08,09",28688.84
"04,06,07,08,10",28807.54
"04,06,07,08,11",28688.84
"04,06,07,09,10",28688.84
"04,06,07,09,11",28681.24
"04,06,07,10,11",28688.84
"04,06,08,09,10",27862.58
"04,06,08,09,11",27743.88
"04,06,08,10,11",27862.58
"04,06,09,10,11",27779.35
"04,07,08,09,10",26149.68
"04,07,08,09,11",26142.08
"04,07,08,10,11",26149.68
"04,07,09,10,11",26177.55
"04,08,09,10,11",25231.75
"05,06,07,08,09",28787.39
"05,06,07,08,10",28794.99
"05,06,07,08,11",28787.39
"05,06,07,09,10",28787.39
"05,06,07,09,11",28824.64
"05,06,07,10,11",28787.39
"05,06,08,09,10",27850.03
"05,06,08,09,11",27842.43
"05,06,08,10,11",27850.03
"05,06,09,10,11",28514.8
"05,07,08,09,10",26142.08
"05,07,08,09,11",26179.33
"05,07,08,10,11",26142.08
"05,07,09,10,11",26851.7
"05,08,09,10,11",25861.05
"06,07,08,09,10",32645.8
"06,07,08,09,11",25504.92
"06,07,08,10,11",25512.52
"06,07,09,10,11",24266.85
"06,08,09,10,11",23321.05
"07,08,09,10,11",32419.17
